Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
AMERICANO ASPES NO FROST,AA18900FNF,589.0,445.89,Frigoríficos,ALMCE,,,Storable Product,ALMCE_AA18900FNF
COMBI CORBERÓ 320L CAJONES,ECFFDH339NFXINV,589.0,434.41,,ALMCE,,,Storable Product,ALMCE_ECFFDH339NFXINV
SECADORA CORBERO EVACUACION 7KG,CSVE710W,289.0,175.3,Secadoras,ALMCE,,,Storable Product,ALMCE_CSVE710W
SECADORA CANDY CONDENSACION  8KG,CSEC8LFS,345.0,213.57,Secadoras,ALMCE,,,Storable Product,ALMCE_CSEC8LFS
HORNO CANDY 70L,FIDCN100,209.0,131.86,Hornos,ALMCE,,,Storable Product,ALMCE_FIDCN100
HORNO CORBERÓ 65L CRISTAL NEGRO,CCHM703X,239.0,129.0,Hornos,ALMCE,,,Storable Product,ALMCE_CCHM703X
HORNO MF CORBERÓ 70L CRISTAL NEGRO,CCHMD803N,279.0,153.23,Hornos,ALMCE,,,Storable Product,ALMCE_CCHMD803N
HORNO MF CORBERÓ INOX MF,CCHMD807XG,295.0,158.06,Hornos,ALMCE,,,Storable Product,ALMCE_CCHMD807XG
CONJUNTO BEKO INOX HORNO+VITRO,BBSE12120X,375.0,256.7,Hornos,ALMCE,,,Storable Product,ALMCE_BBSE12120X
MINO HORNO ORBEGOZO 39L NEGRO,HO392,95.0,63.45,Hornos,ALMCE,,,Storable Product,ALMCE_HO392
COCINA+HORNO NEGRO GRANDE,GM15310DB,649.0,394.61,Hornos,ALMCE,,,Storable Product,ALMCE_GM15310DB
VITROCERAMICA BENAVENT 3FUEGOS,VBBR360,159.0,80.65,,ALMCE,,,Storable Product,ALMCE_VBBR360
INDUCCIÓN BENAVENT 3FUEGOS,IBB360,199.0,106.45,,ALMCE,,,Storable Product,ALMCE_IBB360
VITROCERAMICA 3FUEGOS,CH63CC4U2,169.0,101.14,,ALMCE,,,Storable Product,ALMCE_CH63CC4U2
VITRO CORBERO 2F,CCVG2902D,110.0,70.59,,ALMCE,,,Storable Product,ALMCE_CCVG2902D
PLACA GAS CORBERÓ CRISTAL BLANCO 3F,CPCGY2313W,149.0,91.4,Placas,ALMCE,,,Storable Product,ALMCE_CPCGY2313W
VITRO 3F CORBERO,CCVG8322,195.0,95.7,,ALMCE,,,Storable Product,ALMCE_CCVG8322
INDUCCION CORBERO 4 FUEGOS,CCIG9422,215.0,133.94,Placas,ALMCE,,,Storable Product,ALMCE_CCIG9422
INDUCCIÓN CORBERO 3 FUEGOS,CCVM300,249.0,109.59,,ALMCE,,,Storable Product,ALMCE_CCVM300
INDUCCION CORBERO 3 FUEGOS,CCIG9322,249.0,135.86,Placas,ALMCE,,,Storable Product,ALMCE_CCIG9322
INDUCCION CORBERO 3 FUEGOS,CCIM3374SL,259.0,162.06,Placas,ALMCE,,,Storable Product,ALMCE_CCIM3374SL
INDUCCION CORBERO 3 FUEGOS,CCIG3BL604,199.0,123.86,Placas,ALMCE,,,Storable Product,ALMCE_CCIG3BL604
VITRO ASPES 5700W,AV3600,160.0,100.0,,ALMCE,,,Storable Product,ALMCE_AV3600
VITROCERÁMICA 2FUEGOS 3000W,SV2300,99.0,63.53,,ALMCE,,,Storable Product,ALMCE_SV2300
"PLACA GAS HISENSE CRISTAL NEGRO, 3F",GG633B,160.0,96.59,Placas,ALMCE,,,Storable Product,ALMCE_GG633B
CONGELADOR VERT BENAVENT 84X48 3C,CVBH8448,189.0,95.79,,ALMCE,,,Storable Product,ALMCE_CVBH8448
CONGELADOR ARCÓN BENAVENT 299L,CHBME300DINV,329.0,203.23,,ALMCE,,,Storable Product,ALMCE_CHBME300DINV
CONGELADOR HORIZONTAL 198L,CCHH20023E,265.0,163.53,,ALMCE,,,Storable Product,ALMCE_CCHH20023E
CONG VERTICAL CORBERÓ 1.70M NO FROST,CCHV17023NFX,469.0,448.76,,ALMCE,,,Storable Product,ALMCE_CCHV17023NFX
VENTILADOR TECHO FM,VTCLASSIC105,60.0,42.49,,ALMCE,,,Storable Product,ALMCE_VTCLASSIC105
