default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
KITTYBLA90,CAMPANA CRISTAL NEGRO 90CM,consu,151.94,245.0,,ALMCE,True,True,True
KITTYWHA90,CAMPANA CRISTAL BLANCO 90CM,consu,160.19,259.0,,ALMCE,True,True,True
TB2203,PLANCHA COCINA ORBEGOZO,consu,26.0,38.0,,ALMCE,True,True,True
SF3210F0,PLANCHA PELO ROWENTA OPTILIS,consu,18.78,29.0,,ALMCE,True,True,True
4210,SECADOR BAMBA IONICARE,consu,20.45,30.0,,ALMCE,True,True,True
4248,PLANCHA PELO CECOTEC-BAMBA RITUALCARE,consu,22.5,35.0,,ALMCE,True,True,True
3385,CEPILLO CECOTEC AIRFLOW,consu,32.9,50.0,,ALMCE,True,True,True
TRIP&DRY,SECADOR UFESA 1600W,consu,12.5,19.0,,ALMCE,True,True,True
MQ3000WH,BATIDORA BRAUN MULTI QUICK 3,consu,24.59,30.0,Batidoras,ALMCE,True,True,True
DD451110,BATIDORA MOULINEX ,consu,25.84,29.0,Batidoras,ALMCE,True,True,True
MFQ36460,BATIDORA BOSCH/AMASADORA,consu,29.97,35.0,Batidoras,ALMCE,True,True,True
DD655D10,BATIDORA MOULINEX CHEF 1000W,consu,37.23,45.0,Batidoras,ALMCE,True,True,True
3208,TOSTADOR VINTAGE AMARILLO,consu,31.38,45.0,,ALMCE,True,True,True
TT7963ACTIVA,TOSTADOR UFESA 700W,consu,18.18,35.0,,ALMCE,True,True,True
FDR27,"FREIDORA ORBEGOZO 1200W 2,5L",consu,41.02,59.0,,ALMCE,True,True,True
FDR35,"FREIDORA ORBEGOZO 2000W 3,5L",consu,40.78,59.0,,ALMCE,True,True,True
PANTHER,"FREIDORA UFESA AIRE 1200W 3,5L",consu,49.87,75.0,,ALMCE,True,True,True
AD560120,PICADORA MOULINEX,consu,37.62,55.0,,ALMCE,True,True,True
HPL8070,OLLA CLASICA ORBEGOZO INOX,consu,49.18,69.0,,ALMCE,True,True,True
4232,CORTAPELOS CECOTEC,consu,10.88,16.0,,ALMCE,True,True,True
PB2217,BÁSCULA BAÑO ORBEGOZO,consu,12.19,18.0,,ALMCE,True,True,True
EX296,EXPRIMIDOR JATA,consu,12.57,19.0,,ALMCE,True,True,True
4229,CORTAPELOS CECOTEC BAMBA 5EN1,consu,18.46,29.0,,ALMCE,True,True,True
BS1503V0,BÁSCULA BAÑO ROWENTA,consu,17.51,25.0,,ALMCE,True,True,True
4250,BASCULA BAÑO CECOTEC ECOPOWER,consu,15.66,25.0,,ALMCE,True,True,True
TN1410,CORTAPELOS ROWENTA,consu,21.03,30.0,,ALMCE,True,True,True
QP2721,AFEITADORA PHILIPS,consu,27.06,40.0,,ALMCE,True,True,True
